Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
CSTA,0,1,0,0
CCND2,0,1,0,0
HOOK1,0,1,0,0
CLEC12A,0,1,0,0
MEFV,0,1,0,0
CACNA2D2,0,1,0,0
LTBR,0,1,0,0
PLPPR2,0,1,0,0
LILRB2,0,1,0,0
SIGLEC1,0,1,0,0
IGFBP7,0,1,0,0
PDK1,0,1,0,0
SATB1,0,1,0,0
CUL9,0,1,1,0
CD33,0,1,0,0
STAB1,0,1,0,0
SLC8A1,0,1,0,0
MYCL,0,1,0,0
NFAM1,0,1,0,0
RTN1,0,1,0,0
PLA2G4A,0,1,0,0
FCER1G,0,1,0,0
EPHA1,0,1,0,0
ASGR2,0,1,0,0
DHRS3,0,1,0,0
MINDY1,0,1,0,0
ADAM9,0,1,0,0
CLEC4E,0,1,0,0
ZNF540,0,1,0,0
CAD,0,1,0,0
CD14,0,1,0,0
LINC00937,0,1,0,0
FLNA,0,1,0,0
SYNE1,0,1,0,0
TLR8,0,1,0,0
AL391244.1,0,1,0,0
TMTC1,0,1,0,0
PRKCA,0,1,0,0
SYNE2,0,1,0,0
LILRA5,0,1,0,0
CXXC1,0,1,0,0
ZNF516,0,1,0,0
RAB39A,0,1,0,0
AL365475.1,0,1,0,0
RNF40,0,1,0,0
ME3,0,1,0,0
CTBP2,0,1,0,0
ISY1-RAB43,0,1,0,0
PRKCQ-AS1,0,1,0,0
SHTN1,0,1,0,0
GVINP1,0,1,0,0
SATB1-AS1,0,1,0,0
APEH,0,1,0,0
AL031283.1,0,1,0,0
SLC24A4,0,1,0,0
QTRT1,0,1,0,0
IRF4,0,1,0,0
CSF1R,0,1,0,0
C3orf18,0,1,0,0
TGFBR3,0,1,0,0
USP5,0,1,0,0
SCARNA12,0,1,0,0
RTEL1,0,1,0,0
NDST1,0,1,0,0
PPARGC1B,0,1,0,0
ACACB,0,1,0,0
ALDH5A1,0,1,0,0
LMO2,0,1,0,0
CD68,0,1,0,0
CSF2RA,0,1,0,0
LRRC25,0,1,0,0
CD300LB,0,1,0,0
RASSF4,0,1,0,0
FES,0,1,0,0
ACPP,0,1,0,0
TTC38,0,1,0,0
EPHA1-AS1,0,1,0,0
CPVL,0,1,0,0
PMM1,0,1,0,0
ADGRE2,0,1,0,0
SLC15A3,0,1,0,0
KCNE3,0,1,0,0
TGFBR1,0,1,0,0
RAB32,0,1,0,1
PLXDC2,0,1,0,0
PCDH1,0,1,0,0
NUMA1,0,1,1,0
IFNGR2,0,1,0,0
PIM1,0,1,0,0
AL138756.1,0,1,0,0
RASA4CP,0,1,0,0
MLC1,0,1,0,0
TRABD2A,0,1,0,0
PTAFR,0,1,0,0
FOXK1,0,1,0,0
ZNF28,0,1,0,0
PAK1,0,1,0,0
GSTO1,0,1,0,0
P2RY13,0,1,0,0
CYFIP2,0,1,0,0
C11orf21,0,1,0,0
GNS,0,1,0,0
TPPP3,0,1,0,0
MYOF,0,1,0,0
SIGLEC7,0,1,0,0
ADAMTS1,0,1,0,0
PI4KA,0,1,0,0
TXK,0,1,0,0
MRAS,0,1,0,0
KAT2A,0,1,0,0
PLEC,0,1,0,0
SPOCK2,0,1,0,0
CHST15,0,1,1,0
SCARNA17,0,1,0,0
CLMN,0,1,0,0
EMILIN2,0,1,0,0
ARAP1,0,0,1,0
UNC13D,0,0,1,0
MYO1F,0,0,1,0
FGR,0,0,1,0
ATF6B,0,0,1,0
PARP10,0,0,1,0
SLC38A10,0,0,1,0
SPECC1,0,0,1,0
DAPK1,0,0,1,0
ASAH1,0,0,1,0
ARHGAP27,0,0,1,0
LILRA6,0,0,1,0
NBEAL2,0,0,1,1
USP20,0,0,1,0
NCF2,0,0,1,0
GAB2,0,0,1,1
ZNF646,0,0,1,0
PKN1,0,0,1,0
NADK,0,0,1,0
SOS2,0,0,0,1
NRIP1,0,0,0,1
CCPG1,0,0,0,1
PSMD14,0,0,0,1
PAX6,0,0,0,1
C1QBP,0,0,0,1
RTN3,0,0,0,1
BRI3,0,0,0,1
ATP5F1E,0,0,0,1
PRAM1,0,0,0,1
DTNA,0,0,0,1
MRPL19,0,0,0,1
PICALM,0,0,0,1
COX7A2,0,0,0,1
THSD7A,0,0,0,1
VPS13B,0,0,0,1
TKT,0,0,0,1
SINHCAF,0,0,0,1
SNHG5,0,0,0,1
UQCR10,0,0,0,1
NAALADL2,0,0,0,1
POLR2B,0,0,0,1
SIGLEC9,0,0,0,1
TBL1X,0,0,0,1
