"","32140205_TLymphocytes","32150052_TLymphocytes","32150056_TLymphocytes","32150091_TLymphocytes","32150099_TLymphocytes","32150229_TLymphocytes","32150750_TLymphocytes","32150754_TLymphocytes","32150756_TLymphocytes","32150952_TLymphocytes","32151039_TLymphocytes","32151045_TLymphocytes","32151048_TLymphocytes","32151050_TLymphocytes","32151137_TLymphocytes","32151371_TLymphocytes","32151407_TLymphocytes","32151418_TLymphocytes","32151432_TLymphocytes","32151567_TLymphocytes","32151572_TLymphocytes","32151577_TLymphocytes","32151647_TLymphocytes","32151668_TLymphocytes","32151707_TLymphocytes","32151808_TLymphocytes","32151872_TLymphocytes","32151889_TLymphocytes","32152113_TLymphocytes","32152115_TLymphocytes","32152155_TLymphocytes","32152160_TLymphocytes","32152162_TLymphocytes","32152165_TLymphocytes","32152205_TLymphocytes","32152208_TLymphocytes","32152211_TLymphocytes","32152217_TLymphocytes","32152295_TLymphocytes","32152297_TLymphocytes","32152299_TLymphocytes","32160215_TLymphocytes","32160509_TLymphocytes","32161284_TLymphocytes"
"32151418_TLymphocytes",75.0733383058233,68.3905161453703,67.3756155209074,70.3783510692156,88.5323456231921,80.9329451926912,68.4351177710599,72.7251757935253,69.1704190663447,61.9073728816494,68.3383065944955,65.1642347587146,65.7231696134003,69.0863500803828,69.4829902338175,176.329751334387,77.1014002179027,0,72.0656284253969,71.688962967046,68.5839309499428,61.3203295172195,64.224433868183,78.8021477133504,65.7310936677643,73.3728266980095,65.664364874407,70.7990862403155,66.2663537472789,70.9427667266753,67.0638843765435,65.0524877518153,68.8314936761359,62.4361488749262,67.4135514038042,63.3215727191431,82.0936969347699,69.305901060524,145.971842790667,63.4732421848445,64.6350416686525,72.0818408253058,71.1584830010358,64.1518325317714
"32151432_TLymphocytes",85.6597851631344,78.3927903276243,71.073067060591,77.3446701368638,92.5998656264102,93.8439660379229,76.8620773528376,83.5642910391818,78.5986969575623,74.7748025021836,81.5797225396765,74.52197525212,75.0695187326011,69.3741712695934,83.531965245469,170.99867355001,79.6053500197489,72.0656284253969,0,76.62027971329,74.6419858752664,74.4350997095126,78.6487491451639,93.1132141588281,75.7557432625147,75.3797184635122,71.8906389921514,65.9198701978641,72.4014809525756,83.5709364207805,78.1359421501399,73.1622977231058,77.0166789675559,77.3864837978938,73.8263323930735,67.2880941970645,95.2736438216961,77.6655053693326,142.30060663458,70.9595333637435,73.505798929915,82.0094275821299,80.4449019707606,75.2536586524695
"32151567_TLymphocytes",67.2765621189603,80.2624110942544,72.4448512933663,58.9685031303144,97.2447396746347,95.9415630932671,82.62399458955,86.6744193011752,90.5707496238058,68.5776097485709,74.4090765339341,76.8514325071106,72.5218899688635,76.8746773867841,85.9071898858565,170.045577377177,69.2325570893303,71.688962967046,76.62027971329,0,72.412290111093,72.3482522843123,75.0693338175005,82.3421118706556,75.3054943549697,72.5348987699057,69.8767161435987,82.3705260233315,73.0301723414549,72.4815637812337,76.2197319094878,79.7507051833382,74.5652058004392,75.6985279288829,81.9839064697924,63.217987540734,94.0195503782596,81.460756886837,141.726641097733,66.599120246653,77.5316477053918,76.265872265576,68.6515637002432,75.1991198423526
"32151572_TLymphocytes",70.7758379405868,57.5592879442393,75.0907403459735,72.5520147384572,85.7888729137691,82.263665335136,73.1966715820404,64.820578440563,74.4221723528498,64.101458920844,72.1125335948288,60.3331201327903,62.0544111901608,70.1367072770722,69.8512925957861,164.697760069741,73.2467499849653,68.5839309499428,74.6419858752664,72.412290111093,0,65.3093333713161,62.7843017918437,68.6213631248889,62.5906759596615,65.3380789530088,71.5724932906212,76.6620303112357,73.9222574396167,74.6509202218695,63.3896753038875,59.9374364810322,73.2784227714237,60.8484457582374,64.4691596653223,65.3819109315536,67.8812963405543,60.0429678292697,135.542540500294,63.1189348027077,67.1962155276724,58.6146862419703,63.093324375438,57.9455184625427
"32151577_TLymphocytes",74.8467863388396,65.2736919061111,67.3289207253354,69.6171276047795,86.6948176584919,78.9114266195831,69.8583427298101,69.8928094484642,69.9245204253277,63.7110581847416,67.2753827804639,65.2989214640137,64.7663133318622,70.8591052181954,67.4218310558022,170.658890252109,76.4303740617123,61.3203295172195,74.4350997095126,72.3482522843123,65.3093333713161,0,64.2563333020456,75.1923323029991,65.0832609398074,71.6642254226955,67.1252143738367,74.5269468600146,67.1371072771367,71.6718956458433,64.5031510469137,63.1912983986099,68.9942516226402,62.0424571104895,67.4979512304418,64.4391163106144,76.3378318399259,68.8162763816707,139.78129064543,61.9644738315224,65.1911918400665,68.9096923593089,68.4922879806521,61.9242353849528
"32151647_TLymphocytes",72.1446492443876,64.2816089235986,75.7050846601355,75.8195623671038,89.1584293948313,66.7428187715313,72.6582998974258,68.5086390090088,68.2321942034953,64.2036217191407,75.6155720672181,61.7369980548594,66.8604490146162,71.550467556091,72.4325624418075,182.92700712967,70.5066985048068,64.224433868183,78.6487491451639,75.0693338175005,62.7843017918437,64.2563333020456,0,64.811337588936,69.4207310976582,73.2713474826945,70.800516273415,73.4206311162393,66.1874075942596,73.0823695851804,63.0974937925102,62.6542051693589,73.6585368534483,59.5926504274027,69.816483258789,70.0944910995334,70.2122848289156,66.5526647024034,152.293240911022,66.0469970817358,65.7634245622543,65.5251284213218,67.8451230962297,63.0081029806824
"32151668_TLymphocytes",70.0103293862482,72.7111646916748,89.093628398308,84.2697303399331,100.439895428406,78.888560207693,87.0867782305045,74.6632092634673,85.2992577718707,72.7354626942977,85.4315258641757,67.8809222507697,73.9851743757954,85.6971832844646,84.7657170755238,184.183554683893,79.6739116723418,78.8021477133504,93.1132141588281,82.3421118706556,68.6213631248889,75.1923323029991,64.811337588936,0,77.2145217548729,80.2269626578288,86.1541049570583,89.4642671538276,79.8479270014031,81.0269372526807,71.3143743715228,76.4329649540244,84.2514770025177,71.9934381764529,80.3543255600506,80.4836076025136,67.4056095471399,72.6816458379006,155.049995701194,76.6506017678545,78.2138000214977,72.3076449402856,71.5743014869832,74.3999592357861
"32151707_TLymphocytes",74.3935230653658,62.3345766196552,71.8767364396059,73.1211967859896,87.4349442599461,89.2511709166158,73.1534390225355,62.1308420670541,70.3006147672011,62.7767318346368,65.2121263416069,61.9355632412019,63.5821823654003,71.0521808034943,66.8947333519544,158.603101405983,79.1085721094388,65.7310936677643,75.7557432625147,75.3054943549697,62.5906759596615,65.0832609398074,69.4207310976582,77.2145217548729,0,67.0091377245912,69.8081034636343,80.3987625983945,76.4432299908434,74.4872093913324,71.9345333433454,63.3061861158752,71.9117660556669,63.3380790366201,60.3076897221086,62.5040828620928,74.18521906682,60.6425154166749,130.975227200784,66.1475284485111,68.4511506420538,67.5662522943016,72.4329965430671,61.8366126792022
"32151808_TLymphocytes",74.4254824469418,70.1862950436914,73.1418089331853,73.622884564846,90.7605109812091,90.7603530773899,79.4026368103744,70.1274009697522,78.1148029649407,70.8988164377272,75.8677269296422,66.3758908711285,66.9045590833812,71.084451208931,80.732779862893,164.322349398093,71.4823207218875,73.3728266980095,75.3797184635122,72.5348987699057,65.3380789530088,71.6642254226955,73.2713474826945,80.2269626578288,67.0091377245912,0,66.6238605016903,77.4887482261534,74.9030613211814,76.5528378154297,73.405222610703,68.246841630816,74.5956726902393,69.1848058507784,66.5284962310954,68.7726623961236,80.5543174076847,64.3652017485207,136.126131340767,68.9540249730803,73.2593884612264,73.9367139677722,73.6431936530459,71.0392446276549
"32151872_TLymphocytes",76.2455130144616,73.2587380716958,64.7333023897621,69.2000787613706,88.5663724020853,85.0422312546051,74.2916410912204,78.4629964185401,73.539425874874,67.5734784224785,69.7042632498852,69.5952709184187,66.971591785818,68.4801716291528,76.3526279158535,173.07650569802,72.0499121099747,65.664364874407,71.8906389921514,69.8767161435987,71.5724932906212,67.1252143738367,70.800516273415,86.1541049570583,69.8081034636343,66.6238605016903,0,71.5874053917656,68.9530732905887,70.6551523440932,70.3876415788601,68.0444896451433,69.0732658678152,69.1921941017348,70.3108151829414,65.60947058589,89.3736716996629,72.4462512265789,142.733761595956,63.4096625583513,68.5008159869416,78.5343973181609,71.6530157337037,69.4639916571839
"32151889_TLymphocytes",87.7906627222916,80.0759064271284,72.6052707203359,83.5220301428142,96.4515347463633,80.6228764964393,75.9898724052346,83.4604792431625,72.2634376120472,75.8753423489954,85.8201016014263,70.9562225543559,77.1246986897153,67.3790623609251,84.2852153202016,188.731232400998,84.3257890273762,70.7990862403155,65.9198701978641,82.3705260233315,76.6620303112357,74.5269468600146,73.4206311162393,89.4642671538276,80.3987625983945,77.4887482261534,71.5874053917656,0,64.2423667382131,84.2348520991508,73.1703775006332,70.2984739098323,76.683644020124,75.2787472748486,72.4296619236868,72.2935144607852,93.881072242281,76.2346156573019,158.284499580946,73.9448128020939,67.7122410679736,85.4702930263069,83.8861016133374,76.5591705386235
"32152113_TLymphocytes",78.7303104243665,75.0795247673723,70.4249596312545,73.2935025120781,93.8645589787022,74.9315832076232,75.1715277609642,80.3558478601039,71.517729166005,70.2438425230859,79.7692844519606,68.2680693836318,72.0983892755406,69.4918005252949,79.1802881510237,182.687772710001,74.9127492671044,66.2663537472789,72.4014809525756,73.0301723414549,73.9222574396167,67.1371072771367,66.1874075942596,79.8479270014031,76.4432299908434,74.9030613211814,68.9530732905887,64.2423667382131,0,75.9767943291919,66.7255429359124,67.3306580476539,72.706185190642,67.1711612933264,73.1114981885412,69.2030146251853,85.8224238605529,76.419888520403,151.366596353314,67.5313107708961,65.1002329578023,77.6760835507667,75.6024866061281,71.3475967562096
"32152115_TLymphocytes",75.7400437183521,78.815684438922,75.0909518082723,70.3299975916051,97.5391239644676,90.8811988541118,82.9254216759887,81.5908402636476,84.2291418043649,69.5390830732377,72.9132557596229,73.1305772028625,71.4389874955282,79.1418298351456,80.8242588011049,173.859837665131,76.306546177543,70.9427667266753,83.5709364207805,72.4815637812337,74.6509202218695,71.6718956458433,73.0823695851804,81.0269372526807,74.4872093913324,76.5528378154297,70.6551523440932,84.2348520991508,75.9767943291919,0,75.3932648179588,76.5841466016004,74.5714819715532,74.0728970655216,78.6754248137109,71.9253634209532,88.2878244610865,75.5587906200712,145.881894641276,71.0721890154223,78.1053455793552,78.5833451687294,72.8936064582843,72.7319004653584
"32152155_TLymphocytes",72.4771001118976,62.8219770762868,73.9851776984996,74.4803035203663,87.931595956528,71.6566281721223,74.561843512432,72.7465222830817,69.6727433595643,67.8724483474867,76.9046624123095,63.1986423328889,66.3043339086587,73.1019604147757,72.5125218822937,175.638682019472,76.1450111532029,67.0638843765435,78.1359421501399,76.2197319094878,63.3896753038875,64.5031510469137,63.0974937925102,71.3143743715228,71.9345333433454,73.405222610703,70.3876415788601,73.1703775006332,66.7255429359124,75.3932648179588,0,58.7385915785035,72.6282310956979,59.8606632071587,68.9398437001524,72.0223603038905,72.2538690767214,69.4504660989116,143.214605483409,64.2012476119452,62.1750884228035,67.7322423902072,64.1047120373731,62.7052810067426
"32152160_TLymphocytes",79.3951905069533,53.3473333972847,72.2563756957117,77.6317130515424,84.1839986050869,73.1002651432331,70.4878675928331,65.3850773605648,61.9388072237016,67.5745554283626,72.6006665509194,58.8906478544775,62.3479818185456,68.1465293245954,63.1279933767629,167.887915954827,78.3406809180299,65.0524877518153,73.1622977231058,79.7507051833382,59.9374364810322,63.1912983986099,62.6542051693589,76.4329649540244,63.3061861158752,68.246841630816,68.0444896451433,70.2984739098323,67.3306580476539,76.5841466016004,58.7385915785035,0,72.2126091883634,53.8735653281431,57.2171250621183,67.709053186618,67.7202013179453,61.8415824994054,136.315103275948,62.023913559814,57.6033206439015,62.1056176343086,69.3009561655971,55.6781917029248
"32152162_TLymphocytes",77.2129541833126,74.4008526287671,70.508931340262,72.6827142897903,91.735457114404,88.6144662958542,77.9919542496625,78.1705350663442,77.6272374411795,70.6654356665231,73.5974183717823,71.2220933865057,71.4029928282627,74.5284197994467,77.8005910576431,172.026477115654,80.7826450827402,68.8314936761359,77.0166789675559,74.5652058004392,73.2784227714237,68.9942516226402,73.6585368534483,84.2514770025177,71.9117660556669,74.5956726902393,69.0732658678152,76.683644020124,72.706185190642,74.5714819715532,72.6282310956979,72.2126091883634,0,71.3626117857426,73.0298799097272,69.1363705900511,87.476828738121,74.5822667484286,142.90950252903,69.0136682623405,72.3314870940398,78.7272374943448,73.8213443980498,71.4123197607673
"32152165_TLymphocytes",73.8693774923002,56.9848374377433,72.2582349791222,74.206789786626,85.9795588076815,74.0204002020883,70.9787196652144,65.8090793093395,64.4472205997716,63.3648679240015,70.045545932138,58.1965096634402,63.5689963097248,69.9731587117791,64.7262445063555,168.802375004966,76.7936882506426,62.4361488749262,77.3864837978938,75.6985279288829,60.8484457582374,62.0424571104895,59.5926504274027,71.9934381764529,63.3380790366201,69.1848058507784,69.1921941017348,75.2787472748486,67.1711612933264,74.0728970655216,59.8606632071587,53.8735653281431,71.3626117857426,0,62.36594543645,67.5534470925805,66.3509624486099,63.316502917701,137.953664745445,62.0826199296537,61.600869843002,59.564722349559,68.2500083689108,58.0477300104428
