"","32150056_BLymphocytes","32150091_BLymphocytes","32150099_BLymphocytes","32150229_BLymphocytes","32150762_BLymphocytes","32150940_BLymphocytes","32151137_BLymphocytes","32151412_BLymphocytes","32151567_BLymphocytes","32151572_BLymphocytes","32151668_BLymphocytes","32151872_BLymphocytes","32152113_BLymphocytes","32152115_BLymphocytes","32152153_BLymphocytes","32152155_BLymphocytes","32152160_BLymphocytes","32152162_BLymphocytes","32152165_BLymphocytes","32152294_BLymphocytes","32152295_BLymphocytes","32152297_BLymphocytes","32152299_BLymphocytes","32152300_BLymphocytes","32160215_BLymphocytes","32160221_BLymphocytes","32160509_BLymphocytes","32161284_BLymphocytes"
"32151668_BLymphocytes",70.2124933880243,59.5020377970587,58.1571034646826,58.1103468026544,60.221656011968,61.8054756454851,56.3317641763325,54.401133644057,57.9608413613888,54.7454490004848,0,57.7241183041367,68.6046621121653,59.8891853897359,70.4678443079046,54.2747762675135,60.2636636377557,60.028572312243,72.3445134225026,51.5257182317908,63.0945261559189,59.8441084396134,59.237976125783,64.9240232733718,62.3310930213343,56.6703329964519,80.4865489721038,60.7037046490449
"32151872_BLymphocytes",56.217374700348,49.6554654611863,56.4878040422431,64.1809507613572,61.6366170548617,67.5732472495214,57.4187083636671,53.7263466137774,53.5844919789265,54.0282208589276,57.7241183041367,0,68.2082150554503,57.6577155984475,73.0584390875987,55.3447366193309,55.2881802039418,52.0082568782961,74.9776024032588,52.6339569418197,61.3950606514447,51.5641520764421,55.5808225900044,62.4832065821513,61.0956232051464,55.0579110737094,69.4710896796387,68.6089869961154
"32152113_BLymphocytes",75.5908471002962,64.4018545914159,72.8952125538211,72.5767954667241,81.1545898026536,82.0328660365458,74.9327380308084,72.1127643161196,75.7597830799132,70.8909307510909,68.6046621121653,68.2082150554503,0,68.413606439173,84.15113862317,70.0312836494187,72.3370923554285,66.5658978325319,64.8442934298615,67.3975619465816,76.5180296218814,68.8286135780982,61.5302582169128,78.5890938492275,84.4222753112336,68.4943435539785,81.2053284357905,76.4864537167605
"32152115_BLymphocytes",65.6314420015127,58.4569275493139,70.6390092948027,69.3257633521876,72.2228132301295,77.8637294602625,65.8277290507923,60.2364466545629,64.1422172123373,66.364787249927,59.8891853897359,57.6577155984475,68.413606439173,0,81.7170452670369,66.605092182642,70.9058386897342,63.6572717504305,73.9159211534863,61.8487496808076,73.7917050337145,64.0365360067329,61.7280961136361,72.6527347132605,73.4842118823794,64.6650666282087,79.7384379803305,73.5125602837706
"32152153_BLymphocytes",82.0621143702669,71.6040175905965,58.2008966182184,65.3744275163567,60.0136265469354,59.5493297419969,65.945129956358,78.6380020937436,69.1593272469341,58.8481374819182,70.4678443079046,73.0584390875987,84.15113862317,81.7170452670369,0,66.6618839094157,59.6212333312551,67.6267122009265,78.2643978650947,69.1868173203411,57.0853776805135,63.7317953087966,66.0443429975283,53.6576660516402,61.8826133072466,68.03787849245,73.1861483468292,68.3443820425888
"32152155_BLymphocytes",68.5732682644533,54.9163962023214,55.7647515412072,59.6963305132141,60.8954701758775,63.8631420354746,55.9952348172998,58.9431678386928,56.0967625697203,51.4401348251784,54.2747762675135,55.3447366193309,70.0312836494187,66.605092182642,66.6618839094157,0,49.0071315142463,55.0588965184258,75.4565370979095,52.6481470349399,57.9409718235286,54.678800643705,56.095742122236,60.1552800537428,57.8207126730344,55.6980780004607,68.1531979091411,62.4971059435981
"32152160_BLymphocytes",68.2121198861743,56.3939523957168,51.220322304871,60.6551016789629,55.1946505503772,59.2987231370033,55.2129352810265,62.747714292243,55.9292017681813,47.5196764766964,60.2636636377557,55.2881802039418,72.3370923554285,70.9058386897342,59.6212333312551,49.0071315142463,0,50.6933891651514,75.7921254740869,52.801249331588,51.3692940243888,52.7427773074149,55.5845485010269,52.8587649096864,54.6653736301222,52.4307152036979,62.3806594726962,63.3684910326296
"32152162_BLymphocytes",63.132185438518,53.924478263427,55.6388271256914,64.7470899855139,59.8222291443408,62.5572979029676,59.1552770698923,59.7134358196172,56.7043977232838,52.5465756389314,60.028572312243,52.0082568782961,66.5658978325319,63.6572717504305,67.6267122009265,55.0588965184258,50.6933891651514,0,73.7147432716621,52.1424852096908,57.6015565099606,54.6038995053434,55.0193001099363,57.4153245733613,63.4726409359828,53.0753633067402,65.477394162062,66.220177835613
"32152165_BLymphocytes",81.6011928014654,73.429219054563,75.7081880062254,69.3609910114269,80.6740507272849,82.267950356983,73.2462237770586,78.3497328998086,80.1822546409129,73.2740948211818,72.3445134225026,74.9776024032588,64.8442934298615,73.9159211534863,78.2643978650947,75.4565370979095,75.7921254740869,73.7147432716621,0,72.8474480894212,75.3670593363099,71.7083271764858,65.368000665415,76.3113829336832,81.4645312294387,75.4346414757598,85.7907189380331,76.5728129492259
"32152294_BLymphocytes",62.4369031409081,53.9923824460865,56.9170660967144,59.772692134404,58.1274158006222,59.4447303740532,53.0819471616644,52.6341377788772,54.8869162737758,53.9602622390288,51.5257182317908,52.6339569418197,67.3975619465816,61.8487496808076,69.1868173203411,52.6481470349399,52.801249331588,52.1424852096908,72.8474480894212,0,57.5622268913065,53.0307406450059,53.5087108435494,57.2042961247787,58.7233887333158,56.7587706257021,73.4419397273184,64.6619272191456
"32152295_BLymphocytes",70.8014772772186,62.9362791725046,52.2833903941001,60.1418830772446,59.8316194082703,54.5830299907612,58.5527549584071,68.5115987704548,58.5946764966287,55.4921368321877,63.0945261559189,61.3950606514447,76.5180296218814,73.7917050337145,57.0853776805135,57.9409718235286,51.3692940243888,57.6015565099606,75.3670593363099,57.5622268913065,0,56.5660234591603,60.9545468115322,51.0510088879425,57.6469660942292,60.2021206645242,71.6253793876221,63.4019529671677
"32152297_BLymphocytes",60.2764806504764,51.7491256576979,56.2853560356063,59.4173509849343,57.9837411946881,65.8188027054281,54.9134877978178,59.2669984627198,55.4110913154449,54.1881405857237,59.8441084396134,51.5641520764421,68.8286135780982,64.0365360067329,63.7317953087966,54.678800643705,52.7427773074149,54.6038995053434,71.7083271764858,53.0307406450059,56.5660234591603,0,52.4458886490065,56.4947633882151,56.489766049513,60.3648353455286,66.9937971415402,68.0164902578493
"32152299_BLymphocytes",63.8572358422754,51.8295842039767,60.8513471038233,58.8134215009419,57.845818741154,67.4205657272299,54.8513515857252,57.627639270077,61.1168597754508,56.9736494348841,59.237976125783,55.5808225900044,61.5302582169128,61.7280961136361,66.0443429975283,56.095742122236,55.5845485010269,55.0193001099363,65.368000665415,53.5087108435494,60.9545468115322,52.4458886490065,0,58.5420831933137,62.7195676416337,59.2684930718505,69.8445752511716,69.3525089646005
"32152300_BLymphocytes",70.5101120947431,61.2271142352963,58.4553309247988,61.8870708484706,54.259423115286,57.9539513317142,55.2032578391263,66.9579206703028,60.0079174848166,56.46854607776,64.9240232733718,62.4832065821513,78.5890938492275,72.6527347132605,53.6576660516402,60.1552800537428,52.8587649096864,57.4153245733613,76.3113829336832,57.2042961247787,51.0510088879425,56.4947633882151,58.5420831933137,0,53.5740871782626,63.0045248296864,69.5563702436888,67.4524125942825
"32160215_BLymphocytes",70.5229860557275,60.3416260767004,60.6689166108872,60.3617281053309,56.5699168975196,63.2144952063938,52.1236909713417,63.3329287125457,57.6110649072984,55.9707954510777,62.3310930213343,61.0956232051464,84.4222753112336,73.4842118823794,61.8826133072466,57.8207126730344,54.6653736301222,63.4726409359828,81.4645312294387,58.7233887333158,57.6469660942292,56.489766049513,62.7195676416337,53.5740871782626,0,64.2560557311537,72.5697329002811,69.5413385121236
"32160221_BLymphocytes",72.9351921797652,57.0893436634395,51.936857540139,63.1217646801728,61.5898837176401,61.6802685893966,61.7043940513295,59.7355547865815,57.6317707595655,48.5360503043992,56.6703329964519,55.0579110737094,68.4943435539785,64.6650666282087,68.03787849245,55.6980780004607,52.4307152036979,53.0753633067402,75.4346414757598,56.7587706257021,60.2021206645242,60.3648353455286,59.2684930718505,63.0045248296864,64.2560557311537,0,70.0268129569738,60.8169124189977
"32160509_BLymphocytes",76.1514939509709,67.3508561440209,69.5302616750821,74.2618376167735,74.7566440596386,83.4468718807079,72.4041164103802,81.1872376712541,73.5655793551411,63.4680983552813,80.4865489721038,69.4710896796387,81.2053284357905,79.7384379803305,73.1861483468292,68.1531979091411,62.3806594726962,65.477394162062,85.7907189380331,73.4419397273184,71.6253793876221,66.9937971415402,69.8445752511716,69.5563702436888,72.5697329002811,70.0268129569738,0,80.8965328735801
"32161284_BLymphocytes",82.6199784172803,69.1653940254284,59.589091355384,66.1496327305467,72.9216463861798,61.6296756165063,68.4849095596035,71.3556103597234,66.4689114546699,60.0797868230609,60.7037046490449,68.6089869961154,76.4864537167605,73.5125602837706,68.3443820425888,62.4971059435981,63.3684910326296,66.220177835613,76.5728129492259,64.6619272191456,63.4019529671677,68.0164902578493,69.3525089646005,67.4524125942825,69.5413385121236,60.8169124189977,80.8965328735801,0
