"","padj.MM.purple","padj.MM.darkgrey","padj.MM.darkturquoise","padj.MM.salmon","padj.MM.orange"
"B_UTY",0.575190715319128,0.524129964939884,0.207651166539097,0.184710613195792,0.326810276942819
"B_CXCR2",0.997676955011192,0.890004149843859,1.77440070827493e-05,0.63190379079827,6.21464163429533e-12
"B_IPCEF1",0.897633317338691,0.967723465524041,0.0100595607482726,0.475162756347848,8.94171862505268e-13
"B_THEMIS",0.875992139369693,0.277268481836928,0.671491496311721,0.217118549137613,0.00121461672204248
"B_CX3CR1",0.665531946454867,0.955106231332706,0.00463649211919423,0.4122731091825,4.39299160361724e-07
"B_CD3D",0.863805562990276,0.406417741911002,0.484055084413957,0.281227294777305,0.00316025512106558
"B_DSP",0.311746358985541,0.235434112037943,0.935746186935105,0.708189745948474,0.00169335360707875
"B_MNDA",0.948153641182012,0.961095940038441,9.25069408612616e-05,0.501197812987023,2.97453299500507e-06
"B_LY75-CD302",0.587161382256467,0.592931800462215,0.415570706197504,0.356325863661817,0.878914392986183
"B_S100A12",0.951236644271287,0.403870755470539,0.00875971753222954,0.209458731408424,5.0710348007543e-07
"B_USP9Y",0.559614393494592,0.524895983444656,0.209678129517756,0.160535630648313,0.352612645559696
"B_NFAM1",0.960227591147228,0.818955692602485,0.00161614197435272,0.421126176839255,2.35077033435758e-06
"B_LILRA5",0.859352395292326,0.968008050987875,0.000255606761894381,0.353067494566354,2.32977560019574e-06
"B_FOSL2",0.931343555328952,0.849655439861094,0.00142284503024194,0.399146796605207,3.01021883130044e-07
"B_PYGL",0.912371671952222,0.757013574200295,0.00299537669590848,0.487469445422045,7.41031616962254e-08
"B_FPR2",0.998370839760843,0.909884168506665,1.14188994920419e-05,0.631653056770925,1.09096386759e-09
"B_ACTN1",0.959256962636242,0.918064788084065,0.00105148445345124,0.563138804802626,6.39034616256822e-10
"B_IL32",0.870189894199834,0.595376719845481,0.294667655446642,0.379239275216215,0.00187634529724172
"B_SULF2",0.836932927357551,0.844652675986443,0.00731892292542213,0.369222659581868,4.08833158524611e-07
"B_P2RY13",0.973571189963215,0.742576376705878,0.000229690403007879,0.442995951512145,4.04704244442669e-10
