"","MM.purple","padj.MM.purple"
"B_TLR10",-0.327199708522695,0.014280775007026
"B_PRAMENP",-0.317063002329934,0.0193128508915932
"B_AIM2",-0.393620024126329,0.00123653229002468
"B_HERC6",0.588256798257572,6.23933219707336e-09
"B_JADE3",-0.336729985068457,0.0105418956825149
"B_CXCL10",0.343704522479136,0.00838531895592229
"B_FRMD3",0.30030952593595,0.0311016345874533
"B_LINC01091",0.331602534332949,0.0124001360267617
"B_AC022916.1",0.297098992925591,0.0339172416336801
"B_LAMP3",0.462290082546655,4.26353056524535e-05
"B_HNRNPA1P70",-0.304333185274434,0.0279500375171001
"B_AC007744.1",-0.396993640427376,0.00107185267690571
"B_IL2RA",-0.427601495598427,0.000261025580868301
"B_SNORA6",-0.286269343729691,0.0447270253793705
"B_SMAD7",0.325231113195472,0.015195750418881
"B_JADE1",-0.282901579781631,0.0483601430233052
"B_ZNF385A",0.305964057721262,0.0265990670433607
"B_IFI35",0.390620902659906,0.00139448802871922
"B_TEX9",-0.323527637430518,0.0160109103055919
"B_SORCS3",0.286734004793969,0.0442655464090242
"B_IL5RA",-0.336051036808935,0.010737340590866
"B_MPDZ",0.291491314839498,0.0393511106518646
"B_ST14",-0.344144036599583,0.00825136168413844
"B_DLX6-AS1",0.288348780604625,0.0424669409831055
"B_AC136475.1",0.493599087169684,6.6678757945213e-06
"B_ADAM32",0.316377076672214,0.0197391771993828
"B_PGAP1",0.52014776275898,1.18284149020733e-06
"B_BHLHE41",-0.363583500349613,0.00414960127342293
"B_TMEM123",0.333317009854926,0.0117426865275417
"B_WNT16",-0.364704645387658,0.00398475433888623
"B_IGFBP4",0.35438155734775,0.005761413651821
"B_GBP4",0.422243610599629,0.000336536581330626
"B_CPT1A",0.293398077022515,0.0375007100991845
"B_SNORA74D",-0.318655762547897,0.0184474803804746
"B_TENM4",-0.286746751536074,0.0442655464090242
"B_IPO8P1",0.287183251684509,0.0437806416046409
"B_SNORA28",-0.325106134172293,0.0152445286505873
"B_SHROOM3",0.326769151640664,0.0144732006226272
"B_AL360012.1",-0.371434831835684,0.00308304367764559
"B_PAPSS1",-0.318713832347488,0.0184430653235457
"B_AGRN",0.458148376643206,5.34231973922044e-05
"B_TEAD2",-0.4657759674201,3.51796597310931e-05
"B_AC092828.1",0.304506928720333,0.0278225473515286
"B_SP140",-0.33648281398916,0.0106078662299047
"B_PLOD2",0.290612033572539,0.0401345197662192
"B_DAAM1",-0.358092150889952,0.00505883553048616
"B_AMPD3",-0.332142021234604,0.0121851333975539
"B_EVI2B",-0.2842021241799,0.0469463978678662
"B_RUFY4",0.311217050110592,0.0228141951127348
"B_TRHDE",0.331420867416116,0.0124504275575361
"B_RHOBTB3",-0.529281445259323,6.19972656322238e-07
"B_SOWAHD",-0.327859851662213,0.0140113891775187
"B_GTF2H2C",-0.306350697164842,0.0263039064383583
"B_CBWD4P",-0.307881381959074,0.0252192419471349
"B_AF131215.5",-0.296020199678231,0.0348600131555203
"B_ADRB2",-0.432643507512528,0.00020394103809224
"B_AC005912.1",-0.288375482607267,0.0424536053859262
"B_BMPR1A",-0.367820879321935,0.00353834275511847
"B_CD24P4",-0.392506592087755,0.00129630622700399
"B_ONECUT2",0.291601515415843,0.0392272118430084
"B_PHF23",-0.326554370577971,0.0145468285390591
"B_NPIPB14P",-0.340941701753447,0.00916369067645915
"B_APOL4",0.306891882396667,0.0259374272835449
"B_MTND6P15",0.297962873957597,0.0331562672775054
"B_ZNF625-ZNF20",-0.312638507983825,0.0219039696573969
"B_TFPI",0.316251573721429,0.0197969473939348
"B_KLHDC7B",0.440045207026083,0.000141438330163925
"B_ATRNL1",-0.487926860981649,9.41099603276561e-06
"B_DUXAP9",0.319347244632333,0.0181333047543239
"B_FREM2",0.300499512847053,0.0309949356930582
"B_RASA4B",0.32164497861722,0.0169621238565006
"B_TDRD15",-0.302885611817416,0.0289407653850021
"B_PDXP",-0.351844390095272,0.00628783437732069
"B_IL7",-0.398290297935372,0.00101781314419495
