"","MM.salmon","padj.MM.salmon"
"T_AC138932.1",-0.358064847645912,0.00206158845967453
"T_CTSD",-0.431399071525594,0.000123909324349055
"T_SNORA79B",0.610226684199191,1.12389468127946e-09
"T_OTOF",-0.257350728376605,0.0461283037299345
"T_RPL8",-0.445735348075005,6.76680621907856e-05
"T_HSPE1-MOB4",0.458127136246425,3.97580723574494e-05
"T_OASL",-0.341833461654171,0.00363006711294615
"T_SH3TC1",-0.385062421230258,0.000756107680115365
"T_LAT",-0.30043367635977,0.0137301001678033
"T_ABCA7",-0.372352972697021,0.00121946810353184
"T_PVRIG",-0.260940526124158,0.042017506294412
"T_TMEM259",-0.419653872768562,0.000201791571870325
"T_MIF",-0.442477195218023,7.70689522215906e-05
"T_SNORA74B",0.412514020345775,0.000265709694893732
"T_RAC2",-0.472547394956852,2.0921597348034e-05
"T_CD74",-0.34411533437883,0.00335490195874967
"T_ADORA2A",-0.327150488711117,0.00593033882328771
"T_TBC1D10C",-0.392086384650138,0.000578664697446145
"T_RHPN1",-0.306856785911968,0.0112756701910911
"T_RNPEPL1",-0.475835297798309,1.81140411752e-05
"T_CORO7",-0.453386938601864,4.89732339407498e-05
"T_RAB43",-0.377262770598595,0.0010153315346579
"T_UPK3BL1",-0.301133457079827,0.0134344592254512
"T_SNORD33",0.821741158823349,2.57226999016592e-23
"T_AL360012.1",0.909445138268068,6.1059722198487e-36
"T_INF2",-0.320921603887055,0.00723460839709695
"T_SNORA63",0.850412447594516,1.43112843125555e-26
"T_CAPG",-0.296315680564519,0.0156122762900962
"T_SNORA72",0.892990466272993,7.87170201414244e-33
"T_TMEM8A",-0.441839167824719,7.88901264027421e-05
"T_SBNO2",-0.483191142478186,1.25500698559208e-05
"T_RNU2-6P",0.888041334515928,5.88948598366344e-32
"T_GSDMD",-0.450859036076532,5.42099023175551e-05
"T_SIPA1",-0.41758156885584,0.000218500808450388
"T_ABHD17A",-0.387767107049321,0.000683094396944719
"T_LRCH4",-0.395440679354862,0.000509785187528575
"T_PSTPIP1",-0.506693133108555,3.33522504550153e-06
"T_SNORD97",0.412605619377171,0.000265001281801554
"T_SNORA23",0.866748699918743,1.08589647955769e-28
"T_SCO2",-0.355284306941904,0.00226882255563876
"T_ZNF890P",-0.336764640620198,0.00431141557064688
"T_CIC",-0.406689373494691,0.000331158644393771
"T_SNORA70",0.451569913833174,5.25899365646781e-05
"T_RASAL3",-0.398191230201451,0.000460574512234104
"T_TMC6",-0.3770442716291,0.00102356087225783
"T_TSPO",-0.343922758134197,0.00337513625457208
"T_SNORD13",0.762923928813702,3.92896113284726e-18
"T_UNC13D",-0.451137424208035,5.34871630980699e-05
"T_RIN3",-0.336282655830385,0.0043809849685033
"T_RHOT2",-0.441521827102338,7.99990431297345e-05
"T_HIST1H2BC",-0.405955310408002,0.00034078379017543
"T_IFITM1",-0.539574727213771,3.8487836878408e-07
"T_SNORA10",0.809795691504625,3.91144567515013e-22
"T_HSPA1A",-0.414614627377985,0.000244339566671691
"T_AC034102.2",0.288785139188716,0.0194893842678165
"T_ADAP1",-0.28286578735321,0.023023580458762
"T_LGALS3BP",-0.445190542214479,6.89265389872749e-05
"T_KMT2D",-0.271014299826337,0.0322246300434726
"T_RPS9",-0.446304122344111,6.61320179969779e-05
"T_ATP2A3",-0.311962651154247,0.00961695456006752
"T_FKBP8",-0.458624511306267,3.89851115180614e-05
"T_LENG8",-0.37039564936303,0.00130398056047115
"T_TNFRSF4",-0.269284715321458,0.0337282839654153
"T_SNORD14C",0.818887162385327,4.97878550691041e-23
"T_DGKZ",-0.440208302920737,8.47975048375605e-05
"T_PNPLA2",-0.415887307689398,0.000232199251138143
"T_SNORA21",0.856628557446801,2.50334743850145e-27
"T_PFKL",-0.449022844093091,5.88952238948026e-05
"T_LINC02384",-0.276779324711172,0.0274143310132495
"T_RASGRP2",-0.36931149732691,0.00135442513454711
"T_GSTM3",0.256044114624192,0.0476608004442196
"T_POLRMT",-0.382022249972944,0.000845494152805779
"T_ARHGDIA",-0.450841386301601,5.42099023175551e-05
"T_PNPLA6",-0.437619266510781,9.51365801101203e-05
"T_AL139300.1",0.316994780096114,0.0081730480869023
"T_TNK2",-0.426761907089122,0.00015016330915416
"T_LTBP4",-0.400912699551829,0.000414233504429257
"T_SCARNA1",0.901949016900517,1.7108575668179e-34
"T_RPS5",-0.340421197293545,0.00380581630953005
"T_HIST1H1B",-0.484166594750685,1.20271080578041e-05
"T_LLGL2",-0.323466222854118,0.00666098581490761
"T_GRK6",-0.451728967242194,5.24142415914333e-05
"T_ACAP3",-0.421094202762529,0.000189523914610665
"T_SNORA2C",0.874539533438869,8.27465122711761e-30
"T_RPL17-C18orf32",0.433330805174549,0.000114451411583531
"T_LMF2",-0.457377771345754,4.10718916217749e-05
"T_SNORA37",0.775918505220169,3.87220435519413e-19
