"","p.MM.purple","p.MM.darkgrey","p.MM.darkturquoise","p.MM.salmon","p.MM.orange"
"B_AQP9",0.729867275479909,0.636879051997025,6.35467566652798e-05,0.194611165557259,3.28206299571208e-09
"B_PLBD1",0.684097512472875,0.336428652466197,0.0270536406075951,0.0844829586014308,5.50497332880214e-07
"B_HK3",0.943120310901086,0.66692609441031,0.0123523368558067,0.153242757858382,0.000206798780520213
"B_MS4A6A",0.41816238941492,0.397266414856024,0.0199581123996159,0.130000861661278,5.38135157992169e-09
"B_MEFV",0.490653420390535,0.933302293919706,2.19118351972774e-05,0.303179995169244,3.84486605038123e-11
"B_LPAR6",0.24321430484317,0.515520796213528,0.00724928284830244,0.124594883209986,6.53298695767832e-07
"B_CPVL",0.519553113543408,0.182219236973774,0.263283074382052,0.0393521660567528,0.00157206284008042
"B_PLXDC2",0.510571491427048,0.732436319511216,0.000403065482175994,0.396690596399892,1.72634748697507e-14
"B_STAB1",0.820741506036158,0.0732475932064262,0.930206661231105,0.0446666284055859,0.269182833032473
"B_TLR8",0.745552579688485,0.812419191598119,0.000134952020121182,0.18966403722829,2.79843186230895e-13
"B_AIF1",0.706524344016102,0.587656158648342,0.00207293895282606,0.223344539449385,3.03444147240353e-07
"B_TYROBP",0.259191198613902,0.918687334827595,1.08492617573932e-05,0.565951288468821,1.72203377975226e-09
"B_TRAT1",0.787369311127732,0.302515864517505,0.498560205987234,0.116472810591266,0.000314717141559793
"B_UTY",0.259669314770166,0.400985629677258,0.135575446633376,0.0591704763618769,0.247673168381116
"B_CXCR2",0.988426987198369,0.834200889648649,4.08112162903235e-06,0.455137692312052,2.32116865040931e-13
"B_IPCEF1",0.704590475826471,0.950546374010989,0.00442620672923993,0.274944355935618,2.6646321502657e-14
"B_THEMIS",0.654891723392783,0.174526645892255,0.569618945861613,0.074960179089761,0.000447221877056041
"B_CX3CR1",0.347307846257472,0.930034692760223,0.00187940208051538,0.213846061732963,7.41317333110409e-08
"B_CD3D",0.627109468020732,0.286715648126259,0.374803851861727,0.111337886002335,0.00128322159190868
"B_DSP",0.0821763402285886,0.141672476918832,0.905183010924064,0.551644402606564,0.00064381304141134
"B_MNDA",0.835122879746946,0.94036760075011,2.52384403226872e-05,0.301660917095139,6.26139195448568e-07
"B_LY75-CD302",0.270006161630636,0.472596291558408,0.310202753641127,0.16657060190964,0.84261724889109
"B_S100A12",0.845188570829745,0.284279034759461,0.00379076776207233,0.0709017805817515,8.7323219268989e-08
"B_USP9Y",0.246873889690139,0.401702896130195,0.137181916236992,0.0477513233363406,0.271353061390464
"B_NFAM1",0.871120189252226,0.739066564789113,0.00058956859224387,0.221575537943974,4.832008422272e-07
"B_LILRA5",0.618776327509111,0.951056294895043,7.70526583730612e-05,0.163759018257946,4.78768885840224e-07
"B_FOSL2",0.78568969138581,0.779676652416866,0.000513931624923389,0.201908407062744,4.83742166189981e-08
"B_PYGL",0.738883585743803,0.661364909100088,0.00115831216830781,0.287815424640351,9.7630915534777e-09
"B_FPR2",0.991993555866934,0.862809576991684,2.49617142896036e-06,0.454600704958035,8.26870212529637e-11
"B_ACTN1",0.8684412818531,0.875787904592794,0.000367283519590518,0.370770589082049,4.46685196763519e-11
"B_IL32",0.641548627621786,0.475246367789424,0.204607182187717,0.185884130747228,0.000722205304908338
"B_SULF2",0.581291764696187,0.773279524865589,0.00310688278184169,0.178089196806467,6.82546958156839e-08
"B_P2RY13",0.911979638119816,0.644296393248855,6.86889150195063e-05,0.24364777333168,2.6386716737662e-11
"B_IFI44L",8.17989774157297e-20,2.26967041671199e-05,8.59108158213946e-43,0.00258645319114525,0.000194499875050106
"B_CD3G",0.828433837354892,0.141230204059925,0.601956204019941,0.0471849920079088,0.000332362787070389
"B_HLA-DQA2",0.00715943405162531,0.475415731482719,0.0038300535569365,0.540344342977668,0.0289249351045748
"B_CFP",0.631091633290501,0.881701133779505,0.000740168259695944,0.270914153465112,9.70078026039003e-06
"B_FCER1G",0.66873173498003,0.751198299038785,0.00127482313661265,0.144360549448945,1.15265204884833e-07
"B_SECTM1",0.391332660134875,0.59674359739806,1.30806591600158e-06,0.417626011247276,2.25049801212521e-08
"B_IGKC",0.0449413478961036,0.519776584390255,0.0533134209831269,0.840099506579715,5.00669389738623e-12
"B_TGFBI",0.955542267475284,0.0611150376281128,0.708533343530598,0.0835025287543092,0.00303538099108782
"B_PRKCH",0.987928410075362,0.954605327552313,0.113783497954958,0.113836795441897,1.68506063042689e-07
"B_DOCK5",0.712649771544785,0.646514182358729,0.000281846063262723,0.226285236293081,1.69500697520761e-10
"B_ITGA6",0.610747269352448,0.366962865463051,0.287656125102205,0.213692763108844,2.00480482526057e-07
"B_TNFRSF1A",0.932317543367791,0.975518971496031,0.000176576569887019,0.283262614443352,3.32056014831535e-09
"B_TIAM1",0.460406762407734,0.326185519199353,0.20563153161033,0.090569069936434,5.99109888348435e-05
"B_GZMK",0.54409211848624,0.231285659988951,0.430999865858599,0.139922041904839,0.0010423355153685
"B_LEF1",0.387205513524128,0.344244145057342,0.622866257067326,0.145749312068112,1.59525433937513e-05
"B_SLC40A1",0.808723317449221,0.778522719726566,0.000249444668499216,0.379490495051514,1.92806885503986e-11
"B_CLEC12A",0.581439036656913,0.289041753570036,0.0451034019967543,0.143224886808466,3.51069519332984e-09
