"","MM.purple","MM.darkgrey","MM.darkturquoise","MM.salmon","MM.orange"
"N_FMNL2",0.576984102585163,0.272371254101366,0.439773551531016,-0.298478715096898,-0.0139044148330875
"N_GIMAP8",0.27472178384535,0.00337242558600702,0.0281908860615085,-0.151271408049276,0.191188309653012
"N_NMI",0.7151734894729,0.131567548148231,0.200611284613974,-0.172916239901819,0.171974966679133
"N_DUXAP9",-0.0693258854927022,0.0899232500718052,0.113959031771881,-0.0214578182120062,0.120164980213327
"N_LPAR6",0.525121241414228,0.289321722588208,0.470013967027001,-0.283842096222075,-0.117518518871136
"N_AC018638.2",-0.0669580814466287,-0.0719648266430317,-0.0828846179499658,0.0649730851308934,0.146240248704597
"N_4-Sep",0.790713849377703,0.389430298675406,0.526022039619834,-0.251877470352969,-0.06558924593762
"N_GBP6",0.733063658031834,0.188913170332211,0.278862206628942,-0.269699174500812,-0.0148600717665129
"N_RRP1B",0.00179762453826532,0.260017381647407,0.484048626973016,-0.172716011244528,-0.294194538043459
"N_CYB561",0.643775721530239,0.10221484676801,0.265609912121079,-0.167986828455228,-0.0226486310977045
"N_TRPM6",-0.0251145049944444,-0.33863254681501,-0.608939229528606,0.113436982966305,0.573934633328066
"N_FCER2",0.0147812716657506,0.31906599384212,0.57864847759141,-0.0865978747683578,-0.498244231676916
"N_ZNF865",-0.116113034649095,-0.0650379008387277,-0.183800731468628,0.114341148189452,0.128996994575474
"N_KMO",-0.0281870113665301,0.370032730078073,0.498643770657162,-0.149524188008463,-0.355378235039372
"N_LGALS9C",-0.252154677121339,-0.315386765224634,-0.280182359999534,0.102638592823079,-0.0505559791454506
"N_TP53INP2",-0.2090142976924,-0.232882356537009,-0.484631236880781,0.246239261922597,0.320526669597481
"N_RPS14",-0.0914029028051899,0.229906504742824,0.486910035616447,-0.0652443699642461,-0.359845320603454
"N_ADPGK-AS1",-0.00629034028009262,-0.00478146594639165,-0.156256169594617,0.0978586198935335,0.179628305615258
"N_AC092803.2",0.413372541361761,0.171786371056242,0.182294046482449,-0.122532619201198,0.0236442841286672
"N_TMEM140",0.624351840556034,-0.0928570495610596,0.0550608709866791,-0.168467880459241,0.18529026651029
"N_PDE4B",0.289231776475862,-0.0180934747379426,-0.098977793963009,0.0549334469436762,0.169962147543172
"N_TRIM21",0.634062254780746,0.0309434410646437,0.0925232183118977,-0.198047079585902,0.154843822667
"N_ZFP91-CNTF",-0.04574857269204,-0.159117384124282,-0.0359000673247113,0.052756714246906,0.0628406009314894
"N_VSIG10",0.00536185821244452,-0.0404082593436866,-0.188165093722587,-0.0189798393210319,0.183055538810617
"N_NPIPB4",-0.186076321655597,-0.0758300286061892,-0.0147231068297375,0.0148539608794015,-0.11050489442447
"N_AC092683.1",-0.0621262290626391,0.250747216433792,0.288287317548057,-0.093129255613007,-0.15852724023657
"N_HRK",-0.292873609238852,-0.000258531127282755,0.0545827614329119,-0.011713351333964,-0.211602106151273
"N_AL928711.1",-0.0620198733385909,-0.0715401989630738,-0.0482248496348275,0.194330128017648,0.0578013019643118
"N_AL353625.1",0.157269300917318,-0.324469576202661,-0.414283880009569,0.04325751747519,0.279290939725066
"N_CEP78",-0.0394025902796334,0.204739175666406,0.313266659438968,-0.0865703330844751,-0.124588279949969
"N_EBF1",-0.0666561962532324,0.294335839650794,0.508588902000031,-0.0831657188718983,-0.435064996433246
"N_RIPK2",0.66749074565057,0.190344125352833,0.289195769454948,-0.192923790851767,0.0258737207276302
"N_VMO1",0.188545778846463,0.125292236504453,0.124968271320649,-0.0779147025027249,0.159857300172836
"N_SH3TC2",-0.11979291900123,0.170200271777441,-0.00186188187608712,-0.12264998068768,0.183738203803191
"N_RIPOR1",0.0182891159767209,-0.0740743543134571,-0.116056728640507,0.0644548946126352,-0.00396889308814828
"N_DOK2",0.0405323614473695,0.0581931504339035,0.0784393771096338,-0.0695898830355012,0.108644192533612
"N_CYP26B1",-0.139687612359472,0.12444730219912,-0.111658089343836,0.0683968954440114,0.157815968413638
"N_ZC3H7B",0.130664137574544,0.343454983952907,0.565831298941486,-0.153493919854105,-0.319808931180984
"N_RASGRP1",-0.0606705226814304,0.231240961087472,0.505120480212189,-0.0957870544263724,-0.393218828788038
"N_SNAPC3",-0.122698209308673,0.213893874388878,0.332546368792039,-0.20131322789172,-0.218946645227755
"N_SLC22A4",0.0902562200180485,-0.360736994682141,-0.513870691112615,0.218382805852014,0.478739797309281
"N_NPL",-0.0671010732618554,-0.317005773596192,-0.678066719049307,0.0964533506426221,0.514560243218631
"N_MAFB",-0.0506761823584186,-0.0709009203103986,-0.179003306442518,-0.0440632239673568,0.254782841844777
"N_IGHV3-48",0.0874307381329598,0.175944498525113,0.702011093068253,-0.107089772676947,-0.492927992526657
