"","MM.orange","padj.MM.orange"
"B_BST1",-0.568565599161591,6.94844608287296e-09
"B_PTGER2",-0.468602921034789,4.03396517292062e-06
"B_CSF1R",-0.3194065811805,0.00297212613109773
"B_STEAP4",-0.640730379584045,1.6067670919353e-11
"B_CD8A",-0.361268516009017,0.000637423911496852
"B_PTGS2",-0.689268196805651,9.46551129366957e-14
"B_CSTA",-0.555784459541162,1.7851127776643e-08
"B_GIMAP8",-0.533210483557647,8.3494837294894e-08
"B_RSAD2",-0.604830528921104,4.0755557803937e-10
"B_KLRB1",-0.466234311608369,4.5983990628775e-06
"B_ID2",-0.527805644494415,1.17622795043458e-07
"B_IGSF6",-0.593862010373048,9.89402158500826e-10
"B_CXCR1",-0.55151934412907,2.40019750774274e-08
"B_GZMA",-0.468465844711374,4.0584122357306e-06
"B_CD300E",-0.450403189606837,1.07496136221538e-05
"B_CD3E",-0.369154028495231,0.000463486401289997
"B_CEBPD",-0.598883051253749,6.60452417016387e-10
"B_TNFRSF10C",-0.550081985930495,2.65231122692274e-08
"B_GNLY",-0.402932676763185,0.000109223891731321
"B_CLEC4E",-0.606007481857869,3.70590963322961e-10
"B_GNAQ",-0.670134458876633,8.23985606318057e-13
"B_SIRPB2",-0.639171160745361,1.8537583894194e-11
"B_PRKCQ",-0.411445557080845,7.37712625634113e-05
"B_DMXL2",-0.637391495808705,2.20332990463415e-11
"B_KCNE3",-0.601419623908375,5.38578661540454e-10
"B_SLFN5",-0.432401263636648,2.7020155241234e-05
"B_NCF2",-0.416064010666611,5.92012756040889e-05
"B_CCR1",-0.584645488385319,2.06499515002655e-09
"B_DYSF",-0.484983363206805,1.60258805020029e-06
"B_LILRA6",-0.516641723873068,2.40348407985131e-07
"B_NKG7",-0.349850689984456,0.000992985904959119
"B_APOBEC3A",-0.539064083196705,5.62730991844965e-08
"B_JCHAIN",0.416227493873912,5.8767505143404e-05
"B_IGHA2",0.494997741880264,8.94272728989011e-07
"B_RGS2",-0.401999602556886,0.000113980827321241
"B_PLEKHG3",-0.54960267596976,2.74035935244301e-08
"B_TLR2",-0.544875727422254,3.80192770646135e-08
"B_SRGN",-0.424037553989098,4.05524125450365e-05
"B_CD163",-0.35593465013461,0.000787048654918718
"B_AOAH",-0.594982744215792,9.0670200842484e-10
"B_C5AR1",-0.546901741501929,3.31646422498304e-08
"B_FAM198B",-0.281327084565543,0.00997008840854484
"B_NLRP12",-0.573826285360501,4.71946941471175e-09
"B_FFAR2",-0.58226381473947,2.48485581698024e-09
"B_IFIT1",-0.595212475654847,8.90827538424493e-10
"B_FCGR2A",-0.534979029032691,7.44000123915599e-08
"B_CFD",-0.487167043408204,1.41313141260079e-06
"B_SLC8A1",-0.643614356911458,1.22540875795269e-11
"B_ANPEP",-0.473028875738333,3.1596054674075e-06
"B_RGS18",-0.631108236855351,3.99806326333964e-11
"B_LINC00861",-0.398168955534624,0.000135134396475041
"B_TREM1",-0.513949307136068,2.83806707220591e-07
"B_IGHM",0.65889948909536,2.70302618179015e-12
"B_MMP25",-0.496143680551021,8.35468929284957e-07
"B_IGHA1",0.349124862533537,0.00102069001394044
"B_IFIT3",-0.57564820832177,4.12407657452307e-09
"B_CRISPLD2",-0.546961913775311,3.30228872566511e-08
"B_MICAL2",-0.527974859315897,1.1660092175156e-07
"B_CD300LB",-0.57603812783769,4.01018521684504e-09
"B_CD68",-0.224256018214492,0.0454137280473647
"B_ZAP70",-0.280876159351261,0.0101026574458314
"B_KCNJ15",-0.786763106478478,3.73173473243493e-20
"B_FGL2",-0.586698192767716,1.75104563251215e-09
"B_TNFRSF25",-0.272282407281544,0.0129542464325021
"B_GIMAP1",-0.356360318168895,0.000773941542620807
"B_TLR4",-0.635818957171145,2.54580135624567e-11
"B_PRKCQ-AS1",-0.366088434741928,0.000525481496789049
"B_TMEM173",-0.369104353683559,0.000464367479664958
