"","MM.darkturquoise","padj.MM.darkturquoise"
"B_ARRB1",0.252168636305257,0.0235021292779395
"B_NACC2",0.241397569564798,0.0311128792244428
"B_QPCT",0.437781402239158,2.22140296960696e-05
"B_SPN",0.229739266177152,0.0413805099636523
"B_IFITM3",0.609947885274269,2.68431679072195e-10
"B_PXN",0.36884892067782,0.00049275410906681
"B_RGPD2",-0.231987733523771,0.0392055212603913
"B_IFI44",0.931474194093904,8.84210752451021e-42
"B_PILRA",0.37894938869783,0.000326395476968145
"B_KLRD1",0.256096047527105,0.02113218084295
"B_CD33",0.242565633950597,0.030231534023673
"B_PLAUR",0.423815437084107,4.41449914282456e-05
"B_SELPLG",0.381357743080119,0.000295005284229748
"B_KLF4",0.291458688911595,0.00764075560415697
"B_NLRP3",0.296682074454518,0.00648891062496267
"B_PSTPIP2",0.375231556962928,0.000380508712395092
"B_HCAR3",0.457594004165432,8.04730304387767e-06
"B_RASGRP4",0.407341136072599,9.4971486439834e-05
"B_IL18RAP",0.401071093082423,0.000125846762127253
"B_CD300A",0.422334403704992,4.74052862153734e-05
"B_LTBR",0.347795099359431,0.00111321020604131
"B_OSCAR",0.337219266204079,0.00164544601447982
"B_CYP4F3",0.467133106054083,4.80373016570637e-06
"B_NINJ1",0.511477379431998,3.53938540943537e-07
"B_MS4A1",-0.456804195948643,8.38316334551979e-06
"B_HCAR2",0.478904708509207,2.48515617008492e-06
"B_DUSP6",0.438997906280016,2.08758228611998e-05
"B_LCP2",0.268637683458078,0.0149736924535484
"B_CREB5",0.475064358429403,3.08774252786292e-06
"B_HLA-C",0.366218270703547,0.000547032644372001
"B_CST7",0.321517396204602,0.0028779900349054
"B_SLCO3A1",0.369307120083661,0.000484132273286641
"B_NHSL2",0.375991397729331,0.000369417209149449
"B_SVIL",0.23822640465245,0.033663058223999
"B_SAMHD1",0.310564344829469,0.00415012158536403
"B_IL1RN",0.592870983123617,1.09945643175917e-09
"B_ADGRE1",0.299318966313174,0.00596348000296659
"B_SLC31A2",0.317748356588941,0.00326782062842791
"B_RPS28P7",-0.253754704246714,0.0225248474162725
"B_KIAA0513",0.328222567321085,0.00227157482074586
"B_SULT1B1",0.39247726633019,0.00018395441373418
"B_FAM239B",-0.243145291925631,0.0297860668246683
"B_PADI4",0.396361370064847,0.000155079509625767
"B_SIGLEC9",0.32987312759715,0.00214263649273908
"B_ISG15",0.857409740128982,1.81145831930349e-27
"B_KCNJ2",0.496448545830809,8.94044512304421e-07
"B_HSPA6",0.488663298782793,1.41650279868945e-06
