"","MM.darkgrey","padj.MM.darkgrey"
"B_PDCD1LG2",0.296721205106793,0.00921334220617578
"B_HLTF",-0.270934703850944,0.0188706064694416
"B_SIPA1",0.231592514706901,0.0490295918727921
"B_PTP4A3",0.231285750803128,0.0493670278846982
"B_ZNF337",-0.235593114862429,0.0448969696622641
"B_CEACAM8",0.233665061428962,0.0468748673757545
"B_GBP4",0.321792681226852,0.00428618860691604
"B_DPH5",-0.295098068046569,0.00965365534724444
"B_MSH2",-0.254070223712156,0.0289877207872783
"B_ITPK1",0.236352165909713,0.0441374989005356
"B_TENM4",-0.247070359375323,0.0343212946429608
"B_MVP",0.286838906413562,0.0122622687570529
"B_RAB24",0.262568196848615,0.0233937553141285
"B_SDR16C5",-0.252241804937493,0.0303298019625854
"B_RCAN3",-0.300895981414362,0.00815815150025361
"B_BCL3",0.234938495856775,0.0455466425538453
"B_DDX58",0.267914621815437,0.0204253586197772
"B_CYP26B1",0.295145912495156,0.00963933674240474
"B_KIAA1147",-0.242200935710019,0.038479414155436
"B_BBC3",0.246124323282698,0.0350833560995145
"B_AGRN",0.388760513311125,0.000383615250120875
"B_PRICKLE1",-0.24891774707349,0.0327965236137288
"B_APOL2",0.273366553019888,0.0176908961984028
"B_LINC01359",0.238111913296389,0.0423000819098612
"B_SLC16A10",-0.298436006614489,0.00877921081738072
"B_ZNF181",-0.276987768970337,0.016032481404401
"B_RETREG1",-0.234007598362525,0.0465129776289917
"B_GADD45B",0.29289956486323,0.0103047785549469
"B_REC8",0.258347217529634,0.0260209519471614
"B_HSPA1B",0.283572452741997,0.0134186699284404
"B_COG2",-0.231784380569069,0.0488564045451547
"B_RPS3AP6",-0.333830283259223,0.00289630158064941
"B_PLK3",0.233031927208597,0.0475492966149374
"B_POLR1B",-0.279259031055997,0.0151046483647952
"B_CORO7-PAM16",0.266504518500715,0.0211404233755863
"B_CHML",-0.243464314943795,0.0373782776123201
"B_ARID5A",0.342495484310577,0.00217011920141212
"B_NMI",0.279035718869134,0.0151856100901604
"B_LINC02555",0.232394236886607,0.0482087944684529
"B_GTF3C3",-0.244093402531004,0.0368022038935712
"B_C1QTNF3-AMACR",0.27703749431408,0.0160139858552957
"B_SCAND1",0.279076327042012,0.0151762659867362
"B_ARL17A",-0.232062478800971,0.0485578890285219
"B_RPL10A",-0.263314553529973,0.0229748108994819
"B_UNC93B1",0.25270171664449,0.0299728086979619
"B_PKN1",0.231731007129313,0.0488984461677788
"B_RNF19B",0.242331047928254,0.0383784314515221
"B_PUM3",-0.252327237613983,0.0302665551032576
"B_AP002990.1",0.349955576411418,0.00166330787130061
"B_UBALD2",0.316470995491446,0.00506565841874036
"B_KLHDC7B",0.443757991343218,3.44336127187259e-05
