"","MEskyblue","MEgreen","MEyellow","MElightgreen","MEwhite","MEmagenta","MEdarkorange","MElightyellow","MEred","MEmidnightblue","MEpurple","MEdarkgrey","MEblack","MEdarkturquoise","MElightcyan","MEgreenyellow","MEturquoise","MEbrown","MEsaddlebrown","MEsalmon","MEgrey60","MEcyan","MEblue","MEpink","MEroyalblue","MEdarkred","MEorange","MEdarkgreen","MEtan","MEgrey"
"32151039",-0.127882300216615,-0.0993616363947464,-0.0388432130687637,-0.0414435653229869,-0.0507353012476825,0.255791041332685,0.142268743798198,0.0364850873027199,0.144172890404201,0.0586242574494487,0.190656501829781,0.137786887772393,-0.01703918214401,0.146489826806465,-0.0697039704725089,0.0107031296376877,0.00749767797354965,0.0224462410730989,-0.0419125140815113,-0.0425427441355923,0.0714186962907599,-0.0551169088530904,0.00174380362097315,0.00725629643629808,-0.0456778413620837,-0.0785935612534101,-0.0536447346039173,-0.0403498914546805,-0.066867441738364,-0.0491247646155792
"32151043",0.0592863400785695,-0.0582489663173691,0.00717951300529025,0.0201335243170789,-0.0190167062551229,0.257425622603698,0.0555158943198507,0.0161125274963802,0.113367941762769,-0.0728138022009635,-0.0952784611864503,-0.0983012669752526,-0.0504101704599719,-0.0440956021120221,0.166616548475376,0.165930839418291,-0.00312962062305751,0.00741951589345966,-0.0459561901215576,0.145402403799629,0.0185028158217854,-0.00178216046658288,0.0106290266630503,0.0176445773549947,-0.062366968590896,-0.0456722075321461,-0.11083698899955,-0.104058987287713,-0.0340130083907119,-0.0739304997184624
"32151044",0.0875167060788523,0.0903869586596631,0.0359559806743807,-0.0309734662124433,-0.0724359037406876,0.259688764506889,0.0375818877363626,0.0553161592697492,0.140569741772863,-0.0842540312363838,-0.130149895255422,-0.221142429066682,-0.0247370823712433,-0.0712324057704076,0.109050018905844,0.12048300813705,0.0752950917417518,0.0286297894040583,-0.0451462364293939,0.21211313759726,-0.39089618591572,0.354389902279955,-0.00217438221209474,0.0763258396737475,-0.047379878605205,-0.0575399883100985,-0.0540607339116459,-0.108572622518311,-0.0385539462187786,-0.0810301682476176
"32151045",-0.13359192932853,-0.0708166122184222,-0.0877391520991705,-0.00589885728857636,-0.0194242925032037,0.269698818332002,0.228789416046679,0.139656472296402,0.24352054529844,-0.0557095162074259,0.0473370795088922,-0.107847192504717,-0.0416021016562796,0.0284013023924494,0.0648040585875803,-0.0757956146804105,-0.00470809098249322,0.0284231547374877,-0.018008109139529,-0.0403490238407627,0.111053223942692,-0.0730158949857584,0.0292779860959266,0.01031883453295,-0.0279193676265106,-0.136363605936578,-0.0800794555185222,-0.194731883767682,-0.159963881280194,-0.0755951900572753
"32151047",0.2201448070252,-0.0404563366263204,0.0244979606148978,0.00577829173349485,-0.00854115530055209,0.344947355242131,-0.00309668478965908,-2.32526623245037e-05,0.0132357776257991,0.00556918551092312,0.149748930608732,0.00209128565610667,0.0154569781763261,0.0515285279415347,-0.0182971602711118,0.0914611376984941,0.0159024025454048,0.0128646312148491,-0.0397710709640933,-0.145052387542172,0.0320401648074136,-0.0156064868063383,0.0121693835307278,0.00589988526630611,0.0067643890153228,-0.0589864998392744,-0.0325621753191541,-0.0949478788263372,-0.0858378916401175,-0.0665878864605919
"32151048",-0.0114932577139998,-0.0287643914400066,-0.0487117645512806,-0.0110584313137489,-0.0346175707107023,0.234050411737268,0.172927655964783,0.110390793748111,0.165065630851574,-0.0135758537509849,0.145415863552997,0.0117968321792803,-0.0175226282145826,0.0754402907996418,0.0368462362469373,0.330219650956545,0.0439389632883599,0.0110965491186932,-0.0434896769409013,-0.0908843304917656,0.0662298608955004,-0.026667908092492,0.00797160586973451,0.0590950359260792,0.0303113823605433,-0.0504796943617161,-0.027958139368213,-0.0972036586832239,-0.111812807525636,-0.0355005027026749
"32151050",-0.0881661375424109,0.147189383171928,-0.0467489964872584,-0.00995836644534835,-0.0215003257197324,0.196314118379923,0.227878607357102,0.139286251599146,0.246111082327051,-0.0529455002149757,0.0824660950887986,-0.120712108479167,-0.0274137868694781,0.0468366162302037,-0.116279848552324,-0.0958283290322369,0.0151445918269934,0.0339111949392582,-0.047424324999396,-0.00296184142706092,-0.383846836214039,0.452770399535107,0.0154356969644735,0.00677811755928289,-0.0227196970140446,-0.10386905263276,-0.0444805674228647,-0.036257472991091,-0.129503328574846,-0.0774952476194083
"32151137",-0.0812598424280274,0.125618610962475,0.00464444401146612,-0.15831322353374,-0.204361633362051,-0.0882621081510642,-0.0901712819283542,-0.053557526874924,-0.0917146491511687,-0.0313828221231189,-0.157451700762488,0.0357555910384101,-0.0623142397103411,-0.100049890650787,-0.0182504538540178,-0.0116482881851675,0.00366053325178606,0.0275145548269827,-0.0451937470013305,-0.053178255044757,0.0615530469749935,-0.0648033681359262,0.0175193412661098,0.0226307022268503,-0.00806805485795227,0.0379688973705547,0.0712138650321887,-0.00216980068593904,0.0579851229299975,-0.0344592584131701
"32151369",-0.178699966399097,-0.0970130354196572,-0.053688232455645,0.0481990151332883,0.0341204133304756,0.235338505770441,0.159837627637376,0.0893221232589928,0.173782871643889,-0.0840273294073254,-0.144770741808979,-0.236477663958533,-0.0271939907353626,-0.0729955792952346,0.060742252573211,0.0429298561142337,0.0998324948086893,0.0287436989073961,0.379970536250444,0.22418627785872,0.0350950764576885,0.00819752298679871,0.0200494147250718,0.0970885633110985,-0.00242080377114688,-0.0444934492541805,-0.027572169637235,-0.0273857082656922,-0.0770600591109093,-0.06877205928152
"32151371",-0.0118959569624887,-0.036952834267642,-0.0590762988569211,-0.00164671958628121,0.0146346140372463,0.305919524800469,0.0882792396428323,0.0584364442891673,0.0960584008359308,-0.047065196699096,0.0299037629198555,0.266797094650856,-0.0590535180548521,-0.0266464925438171,-0.301932376320543,-0.410070108382004,-0.696578290956294,-0.00101245714707169,-0.0444394346975351,0.385224162579428,0.0355755269291441,0.0137793776605206,0.049106917382723,-0.468195205769771,0.0381168921583053,-0.0249028028714211,-0.0200633533093109,-0.10425955857795,-0.0754366557587069,-0.0662833920385764
