"Variable","Pvalue","Cor","Padjusted","Significativite"
"GCSF",0.688833460075203,0.0662050844559599,0.994345438998613,"Non significatif"
"GALACTIN3",0.864151041103968,-0.0283124133281829,0.994345438998613,"Non significatif"
"GMCSF",0.644235070187387,0.107033548689645,0.994345438998613,"Non significatif"
"GROALPHA",0.784500188942596,-0.0672290681113501,0.994345438998613,"Non significatif"
"GROWTHHORMONE",0.0252109245833286,-0.358065608167099,0.938908238523985,"Significatif"
"HGF",0.987441608695651,-0.00260521966091176,0.994345438998613,"Non significatif"
"ITAC",0.721473424472899,-0.0589524907345452,0.994345438998613,"Non significatif"
"ICAM1",0.933958176627186,0.0137147700886265,0.994345438998613,"Non significatif"
"IFNGAMMAR1",0.71043461864818,0.0613924725491828,0.994345438998613,"Non significatif"
"IFNGAMMA",0.312977764159591,-0.16584168565568,0.994345438998613,"Non significatif"
"IL1RA",0.796125901408143,0.04274314228584,0.994345438998613,"Non significatif"
"IL10",0.714836423840796,0.0925792208883381,0.994345438998613,"Non significatif"
"IL12P70",0.672850712633731,-0.106911877925843,0.994345438998613,"Non significatif"
"IL13",0.347272365845623,0.200603761013717,0.994345438998613,"Non significatif"
"IL17A",0.100809309322779,-0.439922114215974,0.994345438998613,"Non significatif"
"IL17F",0.386237346115083,-0.142675058482378,0.994345438998613,"Non significatif"
"IL18BPA",0.462515144821022,0.12115543411485,0.994345438998613,"Non significatif"
"IL1A",0.783616870100852,-0.0454279094495669,0.994345438998613,"Non significatif"
"IL1B",0.0791801370074986,0.350495562007396,0.994345438998613,"Non significatif"
"IL2RALPHA",0.521781537710508,0.105730196018341,0.994345438998613,"Non significatif"
"IL22",0.121498250543476,0.49512799295904,0.994345438998613,"Non significatif"
"IL23",0.329559208458822,-0.160328613093936,0.994345438998613,"Non significatif"
"IL27",0.703949525489965,-0.12966980724675,0.994345438998613,"Non significatif"
"IL28A",0.109710923345204,0.334864803675004,0.994345438998613,"Non significatif"
"IL2",0.614476650951162,0.123495224079426,0.994345438998613,"Non significatif"
"IL31",0.339641481450624,0.16631537986053,0.994345438998613,"Non significatif"
"IL33",0.00255334194541772,-0.487672813974805,0.426408104884759,"Significatif"
"IL5",0.460607543030676,-0.121668588221468,0.994345438998613,"Non significatif"
"IL6RALPHA",0.963136845304882,0.00764951435603812,0.994345438998613,"Non significatif"
"IL6",0.767837679664812,0.0552502566117892,0.994345438998613,"Non significatif"
"IL8",0.729391925067468,0.0572098026628447,0.994345438998613,"Non significatif"
"IL9",0.279165247736683,-0.476950641132347,0.994345438998613,"Non significatif"
"MCSF",0.111565331584397,-0.400073785862945,0.994345438998613,"Non significatif"
"MCP1",0.987042298624907,-0.00268806281902229,0.994345438998613,"Non significatif"
"MCP3",0.16621227254005,-0.229245854838894,0.994345438998613,"Non significatif"
"MIF",0.548503416803674,0.0990638461931549,0.994345438998613,"Non significatif"
"MIG",0.664068877767684,-0.0727911519209086,0.994345438998613,"Non significatif"
"MIP1ALPHA",0.519174358407024,0.118257597389932,0.994345438998613,"Non significatif"
"MIP1BETA",0.544798416914691,0.0999786596158493,0.994345438998613,"Non significatif"
"MIP3A",0.365018963937978,0.149088654415504,0.994345438998613,"Non significatif"
"MMP13",0.475928585128438,0.140452508833223,0.994345438998613,"Non significatif"
"MMP1",0.0507183269036459,-0.315097741545371,0.994345438998613,"Non significatif"
"MMP2",0.78285098842589,0.0455926545433738,0.994345438998613,"Non significatif"
"MMP3",0.977691791509175,-0.00462819980567962,0.994345438998613,"Non significatif"
"MMP7",0.339837779102634,0.159164869122517,0.994345438998613,"Non significatif"
"MMP9",0.746548712131296,0.0534545268028929,0.994345438998613,"Non significatif"
"MPO",0.769755489851655,0.0484164317823393,0.994345438998613,"Non significatif"
"PSELECTIN",0.648320076954648,-0.0753825401419369,0.994345438998613,"Non significatif"
"PARC",0.454348205116889,-0.12336044692954,0.994345438998613,"Non significatif"
"PENTRAXIN3",0.182768354372323,0.217850634671003,0.994345438998613,"Non significatif"
"PF4",0.562325728821029,-0.0998470252731567,0.994345438998613,"Non significatif"
"RANTES",0.898223695071368,0.0211677123818333,0.994345438998613,"Non significatif"
"TACI",0.695055180427349,0.0648135604225886,0.994345438998613,"Non significatif"
"TNFALPHA",0.412652839361364,0.136841671129569,0.994345438998613,"Non significatif"
"TNFRII",0.476001194948488,0.117559314931588,0.994345438998613,"Non significatif"
"TRAILR3",0.564385626741196,-0.0951748559802633,0.994345438998613,"Non significatif"
"TRANCE",0.32371961497797,-0.273633212147251,0.994345438998613,"Non significatif"
"VCAM1",0.11386678627885,0.257258432763346,0.994345438998613,"Non significatif"
"VEGFC",0.676960676334839,-0.0729769368730704,0.994345438998613,"Non significatif"
"VEGFR3",0.475521209867288,0.117686373564718,0.994345438998613,"Non significatif"
"VEGF",0.454277243995816,0.123379699051839,0.994345438998613,"Non significatif"
"ESSDAI",0.822518299858375,-0.139851023093779,0.994345438998613,"Non significatif"
