"","32140206_Monocytes","32150052_Monocytes","32150091_Monocytes","32150099_Monocytes","32150230_Monocytes","32150289_Monocytes","32150744_Monocytes","32150750_Monocytes","32150754_Monocytes","32150755_Monocytes","32150756_Monocytes","32150762_Monocytes","32150935_Monocytes","32150940_Monocytes","32150952_Monocytes","32151039_Monocytes","32151045_Monocytes","32151047_Monocytes","32151048_Monocytes","32151137_Monocytes","32151407_Monocytes","32151432_Monocytes","32151567_Monocytes","32151572_Monocytes","32151668_Monocytes","32151813_Monocytes","32151886_Monocytes","32151889_Monocytes","32152113_Monocytes","32152115_Monocytes","32152153_Monocytes","32152162_Monocytes","32152165_Monocytes","32152205_Monocytes","32152208_Monocytes","32152211_Monocytes","32152217_Monocytes","32152294_Monocytes","32152297_Monocytes","32152300_Monocytes","32161284_Monocytes"
"32150935_Monocytes",53.988787919355,55.535992555179,62.5348018018435,59.2617302149601,56.6613001037097,55.6476272266192,59.7748649942628,55.5903717863402,58.4394302801517,67.7764023348863,53.1731256017744,56.6054987681466,0,55.1352200182099,53.9574866041886,55.3623948283967,54.851199711171,56.9922962977684,67.9684145876035,53.3495715001412,66.2807096852457,65.0255893319362,53.0158050508804,54.6608259629926,52.2324088318292,53.1902694200712,54.5663004783944,51.3591449615178,57.5056164046789,65.8148383901775,60.4994150105316,58.7320105090959,60.5334341324895,54.5009211181182,54.5874032183252,49.7278886139633,61.4570644806658,56.0783166855614,60.9608664065422,65.6213360624109,60.6025857840687
"32150940_Monocytes",52.4563095990412,57.8738751590022,70.2995106397605,52.3844074431135,60.402171827996,62.4883142536705,61.4663501416863,56.5728163359877,63.4492044336195,74.7018732141515,51.7395377262302,60.2033146127583,55.1352200182099,0,54.8063548044926,61.751745583626,62.1421667664634,61.2281118030842,61.6210095943151,58.8850798959011,76.134623938733,70.0298398919745,64.8663566274098,55.9389215984844,53.1246182179037,57.688419392292,55.7900957119849,54.4946197478376,64.7761060879408,76.794266393493,55.7069620706972,69.1508532755061,67.49627839706,63.0581746761692,64.4029851933659,52.7991680205717,63.2233441609834,58.256025231585,66.1884594670802,72.5662433384279,66.4816187313373
"32150952_Monocytes",53.3698591618748,52.3998481635852,67.8513337519284,60.0128487576452,67.1262994417056,65.3137903516763,60.8472460465961,57.705556872994,61.0372969751399,71.2181341073241,58.4647658225945,58.1815852342176,53.9574866041886,54.8063548044926,0,57.1898359730962,55.8960058486331,59.8329087016842,64.9653842517902,58.8366321731549,72.1040843788995,69.5170448627965,60.5741509158753,53.5277122859476,54.2613566574379,61.857532705,58.223901971124,53.4693564450092,65.8013023574358,71.1454921348186,63.039182314143,65.2900919241223,65.725021283853,59.0702382997746,63.7281703385897,53.3279607788781,56.7873707334926,59.3705794749184,62.3701220820917,73.0359992414556,62.8429699246668
"32151039_Monocytes",57.1896938990807,54.9179923478055,63.9161493601811,61.2330639924476,58.4575394119708,59.1308692440547,64.4038734003504,59.0157911082461,65.4029007040484,69.6544924485532,59.9056964019523,61.2976210321627,55.3623948283967,61.751745583626,57.1898359730962,0,51.8516563242792,55.9565550974118,67.2999096441472,59.5546156477553,62.7475144092813,67.7804045153036,50.6420285230433,55.5940868590062,57.8615555788496,57.3725900963116,52.9493194932706,53.8307327899673,60.6311623906755,60.0526744338386,68.8434598314072,58.1492946654949,66.0553240292107,56.0268614946939,59.3963813672961,54.7468611793963,56.4010332503163,63.6941741282858,65.0169858307108,68.7534731718094,62.2402290701461
"32151045_Monocytes",59.6436990459235,54.670512242071,60.7593651186696,65.6380553145242,61.9806426390716,57.5216206223921,59.7781112750317,55.3621168988785,55.4302790073712,64.0112964525413,57.0816261129866,53.9141750451039,54.851199711171,62.1421667664634,55.8960058486331,51.8516563242792,0,62.756074305565,77.5821680136257,54.9469910780137,64.5444403403656,61.8512997076999,52.6059733046638,55.0986099576093,55.1685154443931,55.0446702547351,52.5021937161511,50.4856598512038,56.7373812232662,62.1063894181178,70.5191638279597,55.414683117797,63.6744845630435,50.2751733344244,55.3304794355875,55.4548515750317,59.7795989926582,57.699359662947,62.3579733751967,66.084938590648,62.1412585695327
"32151047_Monocytes",58.7898210392487,58.6380004709573,67.2277125591045,63.4031517589737,68.1224424442175,63.4824003646803,69.5124975905734,66.080519722106,67.7434769166115,72.4528896130749,65.2376465614158,66.1941790621422,56.9922962977684,61.2281118030842,59.8329087016842,55.9565550974118,62.756074305565,0,64.1227702766216,67.3867278493731,68.6405873604961,75.2888919925992,59.1541887181155,57.1712664421748,58.4546081200875,68.1149695035741,61.9207204524669,58.0259658549461,68.5946291947462,66.9147546625114,70.1567470058533,64.4363493769192,69.8320424226622,63.4041879097709,67.3801132422047,56.9778056640716,61.281628394338,65.7843843127168,67.5203784298236,74.9760847238677,60.8019887349955
"32151048_Monocytes",59.8627945648827,69.7383100156121,82.4852902565138,64.1381234135967,73.804927146877,78.5889013976136,80.8055945519966,76.7627578671188,83.1377251094409,88.9138675732992,70.7171302033086,78.399354565363,67.9684145876035,61.6210095943151,64.9653842517902,67.2999096441472,77.5821680136257,64.1227702766216,0,79.1873800684129,82.3836860228846,88.9165610878865,74.9515803538933,67.8174318032348,66.9608527819236,76.4787422838998,71.2698023282332,69.6473173138783,81.5345639151236,81.1495925177424,68.428995922074,78.8006462533715,80.3021401826238,78.9651679618234,80.0761955601577,66.6818129436701,64.8579227167768,75.4809527684503,79.0146445328124,88.0791834427549,75.2838351058908
"32151137_Monocytes",62.1869793222622,58.8321831889437,68.563430352388,66.6205298491216,62.8218972255386,55.3901419229507,58.7171114993436,55.8356535661798,59.444591570648,70.2170407358126,55.5873136112896,54.9965926004913,53.3495715001412,58.8850798959011,58.8366321731549,59.5546156477553,54.9469910780137,67.3867278493731,79.1873800684129,0,73.4322640297433,66.8710184977372,61.0012196654685,58.9925225491255,58.952100962272,55.5863475501571,58.5743134224467,57.4249945511019,62.7627591779819,72.8463304751814,69.1316201564187,67.1583381251582,66.3900004575804,55.9473329418675,57.597788769524,52.8006717310533,66.7172794490578,61.782231822966,64.7195180398107,71.7321195630534,68.9895228664935
"32151407_Monocytes",71.0072408932821,65.6832825804181,60.1734407732234,66.061862418007,71.8241776726072,65.0262798260655,73.7402567017278,69.8169181670763,70.7400793927929,75.2695906723793,71.8905574109056,70.2480911642975,66.2807096852457,76.134623938733,72.1040843788995,62.7475144092813,64.5444403403656,68.6405873604961,82.3836860228846,73.4322640297433,0,71.7761103134484,54.137477227691,65.7488194817144,65.5487331745149,70.7641509580729,69.920646583545,67.4739167569957,66.5827977479838,54.1185776500883,72.1500400936229,57.0588745153757,66.5204556663426,66.5809259290088,63.8749830662977,70.1261513314911,74.8798903707777,66.4208798846512,66.0376098331943,63.6966659934515,62.8249150532411
"32151432_Monocytes",73.7594093608683,71.8425389004454,69.3044703492653,72.0905175791286,66.5407291573541,62.9140003895857,64.6609552592413,60.3086199242132,64.532725245585,72.1452551406983,64.9786072815727,61.5602628239168,65.0255893319362,70.0298398919745,69.5170448627965,67.7804045153036,61.8512997076999,75.2888919925992,88.9165610878865,66.8710184977372,71.7761103134484,0,65.7170452122901,69.3380405787598,68.6261479567553,60.8688895748538,62.6710302295832,62.729432132067,62.7584807242805,72.5170876592561,77.2495085822899,62.2738547424067,68.5871339265346,58.7027036263948,58.4488812303545,69.8413559352795,78.53990356255,62.4269515834487,68.0347194546138,66.5165725488276,75.7649617011343
"32151567_Monocytes",61.0143726627788,55.3579849817632,53.7481995771603,58.8419183344664,59.832766373061,56.5524847191796,65.177547764675,56.9751473378365,62.3123862071206,68.2393221070754,61.6778986480521,59.4737692731891,53.0158050508804,64.8663566274098,60.5741509158753,50.6420285230433,52.6059733046638,59.1541887181155,74.9515803538933,61.0012196654685,54.137477227691,65.7170452122901,0,55.2088792912501,55.6938896473626,57.8653265795124,58.1153567194668,57.2988613070325,56.1155081433938,53.0562891165733,67.135225612963,52.4289096857661,58.7415514139426,56.1770413907159,56.1340822785958,58.877312116873,62.3551458227672,57.763831307936,58.5122250330319,61.549848281652,55.4296901969715
"32151572_Monocytes",55.3370430288355,50.3682896394813,61.8065546029187,57.4513398980448,66.0445992270179,59.2576383931502,62.2545118300538,58.3148246751989,60.8006172251723,68.7235272826221,60.4093756052557,59.1110301456636,54.6608259629926,55.9389215984844,53.5277122859476,55.5940868590062,55.0986099576093,57.1712664421748,67.8174318032348,58.9925225491255,65.7488194817144,69.3380405787598,55.2088792912501,0,51.7483770847347,61.9654705399782,57.8036361296999,52.7213984127017,64.0198647947536,63.9558868252977,64.8315571791604,62.0330525133327,64.859502900855,57.210157804649,62.0832187724534,50.3495280944058,54.0420607356874,58.2763335411289,61.5041238430064,70.6589768284928,56.3586704699659
"32151668_Monocytes",54.4643814970464,52.1614178608168,61.1597360979345,54.0254634293235,61.3897711748029,57.9345612239759,63.6627874958007,57.3280430256882,60.7445213148952,70.2598537452522,58.1412523398648,57.9345437226351,52.2324088318292,53.1246182179037,54.2613566574379,57.8615555788496,55.1685154443931,58.4546081200875,66.9608527819236,58.952100962272,65.5487331745149,68.6261479567553,55.6938896473626,51.7483770847347,0,57.9168755233819,58.0558941805327,50.9632784409599,60.9223803451783,65.4306399303571,58.8085922392889,60.4003617300198,62.2535422993914,57.1869680020529,59.8789457759151,51.5564842627201,60.8240591106995,54.5278651052858,61.0272540718688,67.2383709402112,58.1829677489969
